Player,Year,Team,Position,Games_Played,Games_Started,Min_Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Essence Carson,2010,NYL,F-G,34,0,325,50,123,.407,4,25,.160,46,98,.469,.423,22,32,.688,14,54,25,14,8,26,23,126
Swin Cash,2010,SEA,F,34,34,1046,161,370,.435,35,86,.407,126,284,.444,.482,113,140,.807,65,203,68,19,17,98,106,470
Iziane Castro Marques,2010,ATL,F-G,34,34,984,220,496,.444,46,156,.295,174,340,.512,.490,89,135,.659,14,59,89,28,2,95,73,575
Tamika Catchings,2010,IND,F,34,34,1068,207,428,.484,47,105,.448,160,323,.495,.539,157,185,.849,57,242,135,77,30,93,93,618
Tina Charles,2010,CON,C,34,34,1054,206,423,.487,0,1,.000,206,422,.488,.487,116,152,.763,129,398,51,25,57,71,72,528
Joy Cheek,2010,IND,F,7,0,34,5,12,.417,1,3,.333,4,9,.444,.458,4,4,1.000,0,3,1,0,0,5,7,15
Shameka Christon,2010,CHI,G,10,9,213,28,78,.359,14,35,.400,14,43,.326,.449,15,16,.938,3,24,24,3,2,9,23,85
Marissa Coleman,2010,WAS,G-F,34,1,663,75,189,.397,41,102,.402,34,87,.391,.505,31,41,.756,25,112,50,29,12,42,67,222
Monique Currie,2010,WAS,F,34,34,891,146,335,.436,37,83,.446,109,252,.433,.491,150,171,.877,43,163,55,49,14,89,120,479
Helen Darling,2010,SAS,G,33,1,391,18,60,.300,6,22,.273,12,38,.316,.350,22,34,.647,11,34,47,20,1,32,51,64
Jessica Davenport,2010,IND,C,33,0,469,96,168,.571,1,7,.143,95,161,.590,.574,50,69,.725,27,93,15,14,27,40,65,243
Erika de Souza,2010,ATL,F-C,34,34,872,190,333,.571,0,0,,190,333,.571,.571,41,75,.547,96,283,30,27,40,62,109,421
Scholanda Dorrell,2010,TUL,G,34,33,836,145,361,.402,23,76,.303,122,285,.428,.434,92,130,.708,29,80,57,53,12,86,93,405
Katie Douglas,2010,IND,G-F,34,34,1014,170,379,.449,68,174,.391,102,205,.498,.538,59,71,.831,26,117,111,46,13,67,55,467
Candice Dupree,2010,PHO,F,34,34,1014,231,348,.664,0,1,.000,231,347,.666,.664,73,78,.936,75,257,45,35,28,65,84,535
Marie Ferdinand-Harris,2010,LAS,G,30,24,728,101,247,.409,14,48,.292,87,199,.437,.437,52,62,.839,19,80,37,26,5,33,64,268
Sylvia Fowles,2010,CHI,C,34,34,1087,228,392,.582,1,1,1.000,227,391,.581,.583,149,196,.760,74,338,51,39,88,82,75,606
Megan Frazee,2010,SAS,F,10,0,101,12,32,.375,1,9,.111,11,23,.478,.391,13,19,.684,7,21,1,0,0,6,10,38
Kerri Gardin,2010,CON,F,25,0,206,10,37,.270,1,11,.091,9,26,.346,.284,8,12,.667,11,29,16,9,3,9,16,29
Kalana Greene,2010,NYL,G,33,0,519,64,138,.464,7,21,.333,57,117,.487,.489,15,24,.625,14,54,31,13,7,36,50,150
Kelsey Griffin,2010,CON,F,34,19,679,48,137,.350,13,48,.271,35,89,.393,.398,41,53,.774,43,160,36,23,17,43,64,150
Sandrine Gruda,2010,CON,F-C,28,6,636,111,226,.491,2,11,.182,109,215,.507,.496,98,129,.760,52,125,33,19,21,45,51,322
Becky Hammon,2010,SAS,G,32,32,1075,159,360,.442,69,177,.390,90,183,.492,.538,97,101,.960,16,93,172,36,8,108,61,484
Lindsey Harding,2010,WAS,G,34,34,1130,157,353,.445,15,52,.288,142,301,.472,.466,82,107,.766,17,103,137,47,6,94,67,411
Allison Hightower,2010,CON,G,20,1,207,19,60,.317,3,18,.167,16,42,.381,.342,13,16,.813,10,25,9,14,2,10,23,54
Roneeka Hodges,2010,SAS,G,34,19,859,94,263,.357,49,159,.308,45,104,.433,.451,25,33,.758,23,108,46,15,10,40,40,262
Ebony Hoffman,2010,IND,F,34,33,815,106,267,.397,26,82,.317,80,185,.432,.446,34,40,.850,44,144,43,40,13,53,91,272
Chamique Holdsclaw,2010,SAS,F,29,29,840,162,328,.494,11,31,.355,151,297,.508,.511,58,72,.806,51,155,58,43,10,65,61,393
Quanitra Hollingsworth,2010,MIN,C,25,0,182,14,37,.378,0,0,,14,37,.378,.378,15,25,.600,13,44,4,5,1,21,38,43
Sequoia Holmes,2010,PHO,G,15,0,119,8,39,.205,0,11,.000,8,28,.286,.205,11,15,.733,8,20,6,6,0,10,16,27
Amber Holt,2010,TUL,F,33,9,697,98,240,.408,27,86,.314,71,154,.461,.465,65,81,.802,28,101,59,30,7,37,51,288
Alexis Hornbuckle,2010,TOT,G,28,10,510,44,129,.341,14,49,.286,30,80,.375,.395,24,30,.800,21,72,57,41,13,39,71,126
Charde Houston,2010,MIN,F,34,8,758,153,368,.416,46,126,.365,107,242,.442,.478,50,71,.704,32,138,46,43,20,68,70,402
Ashley Houts,2010,WAS,G,20,0,110,6,16,.375,3,12,.250,3,4,.750,.469,2,2,1.000,4,13,9,6,0,7,9,17
Sandora Irvin,2010,CHI,F,18,1,137,14,30,.467,1,7,.143,13,23,.565,.483,6,9,.667,11,26,3,2,6,10,28,35
Lauren Jackson,2010,SEA,F-C,32,32,993,220,476,.462,54,156,.346,166,320,.519,.519,162,178,.910,89,264,38,30,38,46,91,656
Tiffany Jackson-Jones,2010,TOT,F,34,17,717,79,200,.395,1,1,1.000,78,199,.392,.398,70,89,.787,54,172,38,40,9,60,63,229
Briann January,2010,IND,G,30,7,657,65,175,.371,21,59,.356,44,116,.379,.431,71,86,.826,20,59,94,37,4,68,75,222
Anete Jekabsone-Zogota,2010,CON,G,19,14,352,51,131,.389,27,77,.351,24,54,.444,.492,15,15,1.000,4,40,33,9,5,23,42,144
Temeka Johnson,2010,PHO,G,34,34,928,122,297,.411,30,97,.309,92,200,.460,.461,39,49,.796,19,108,160,32,7,69,84,313
Asjha Jones,2010,CON,F,30,29,774,139,310,.448,6,20,.300,133,290,.459,.458,39,46,.848,48,147,66,13,13,54,66,323
Marion Jones,2010,TUL,G,33,1,311,42,80,.525,2,8,.250,40,72,.556,.538,25,42,.595,29,53,19,18,7,23,33,111
Crystal Kelly,2010,SAS,F,26,0,242,22,50,.440,1,1,1.000,21,49,.429,.450,34,46,.739,13,30,7,7,1,23,34,79
Cathrine Kraayeveld,2010,CHI,F,34,14,722,63,180,.350,31,98,.316,32,82,.390,.436,21,24,.875,24,93,43,21,19,48,48,178
Alison Lacey,2010,SEA,G,21,0,144,4,35,.114,3,27,.111,1,8,.125,.157,5,5,1.000,3,16,10,6,1,8,19,16
Jennifer Lacy,2010,TUL,F,24,3,402,54,141,.383,17,44,.386,37,97,.381,.443,42,56,.750,26,72,19,19,7,34,56,167
Natasha Lacy,2010,TUL,G,16,3,293,38,80,.475,3,12,.250,35,68,.515,.494,22,37,.595,5,37,56,23,3,38,30,101
Crystal Langhorne,2010,WAS,F,34,34,1158,221,375,.589,1,6,.167,220,369,.596,.591,112,145,.772,98,330,39,30,7,90,74,555
Ivory Latta,2010,TUL,G,18,16,517,78,185,.422,30,81,.370,48,104,.462,.503,38,49,.776,7,26,71,18,2,39,32,224
Edwige Lawson-Wade,2010,SAS,G,33,19,724,67,181,.370,43,127,.339,24,54,.444,.489,39,43,.907,17,64,94,35,2,45,71,216
Kara Lawson,2010,CON,G,34,32,854,101,247,.409,46,128,.359,55,119,.462,.502,34,38,.895,8,87,118,14,0,48,49,282
Shalee Lehning,2010,ATL,G,33,33,775,48,106,.453,13,36,.361,35,70,.500,.514,14,30,.467,28,89,159,25,6,61,68,123
Betty Lennox,2010,LAS,G,11,0,128,18,46,.391,13,36,.361,5,10,.500,.533,5,6,.833,4,19,17,2,0,7,24,54
Yelena Leuchanka,2010,ATL,C,32,0,339,50,105,.476,1,5,.200,49,100,.490,.481,32,43,.744,29,83,12,16,8,46,55,133
Taylor Lilley,2010,PHO,G,21,1,227,23,58,.397,14,43,.326,9,15,.600,.517,10,11,.909,3,18,15,11,1,16,18,70
Camille Little,2010,SEA,F,34,34,838,128,256,.500,8,23,.348,120,233,.515,.516,81,114,.711,72,176,48,55,21,60,106,345
Sancho Lyttle,2010,ATL,F,32,31,930,162,335,.484,0,0,,162,335,.484,.484,87,120,.725,102,316,70,55,20,63,96,411
Hamchetou Maiga-Ba,2010,MIN,F,34,9,467,43,112,.384,0,1,.000,43,111,.387,.384,22,33,.667,35,78,31,13,5,36,54,108
Kristen Mann,2010,MIN,F,5,0,15,1,6,.167,1,4,.250,0,2,.000,.250,0,0,,0,0,0,0,0,0,0,3
Gabriela Marginean,2010,MIN,F,4,0,12,1,5,.200,0,0,,1,5,.200,.200,0,0,,3,4,1,1,1,1,2,2
Nuria Martinez,2010,MIN,G,15,0,128,6,33,.182,3,20,.150,3,13,.231,.227,12,18,.667,0,11,11,5,0,12,22,27
Rashanda McCants,2010,TOT,F,23,8,374,47,124,.379,16,55,.291,31,69,.449,.444,20,34,.588,25,53,25,15,5,20,52,130
Janel McCarville,2010,NYL,F-C,34,34,967,127,275,.462,3,11,.273,124,264,.470,.467,41,50,.820,66,200,74,46,23,86,88,298
Angel McCoughtry,2010,ATL,F-G,34,34,1044,246,603,.408,33,126,.262,213,477,.447,.435,191,238,.803,63,167,105,66,21,108,107,716
Taj McWilliams-Franklin,2010,NYL,F-C,34,34,994,140,274,.511,6,23,.261,134,251,.534,.522,76,92,.826,74,184,69,47,30,52,101,362
Chasity Melvin,2010,WAS,C-F,34,12,659,75,173,.434,0,0,,75,173,.434,.434,27,42,.643,70,159,23,24,17,41,71,177
Coco Miller,2010,ATL,G,27,0,198,34,85,.400,5,26,.192,29,59,.492,.429,12,14,.857,6,15,22,5,0,20,28,85
Kelly Miller,2010,ATL,G,30,1,493,31,107,.290,23,70,.329,8,37,.216,.397,22,25,.880,12,56,79,23,2,37,49,107
DeLisha Milton-Jones,2010,LAS,F,34,34,1096,193,411,.470,26,82,.317,167,329,.508,.501,110,127,.866,34,161,86,37,22,96,107,522
Leilani Mitchell,2010,NYL,G,34,34,978,105,238,.441,72,148,.486,33,90,.367,.592,35,43,.814,25,88,130,55,6,51,79,317
Chanel Mokango,2010,LAS,F,21,0,72,3,17,.176,0,2,.000,3,15,.200,.176,3,4,.750,4,13,1,2,10,5,11,9
Jacinta Monroe,2010,WAS,F,17,0,117,15,31,.484,0,1,.000,15,30,.500,.484,6,12,.500,4,16,3,5,8,6,20,36
Renee Montgomery,2010,CON,G,34,23,940,158,394,.401,66,189,.349,92,205,.449,.485,71,83,.855,14,74,138,47,3,78,67,453
Jessica Moore,2010,IND,F-C,33,0,431,38,89,.427,0,1,.000,38,88,.432,.427,25,30,.833,29,69,14,6,4,30,60,101
Jene Morris,2010,IND,G,25,0,196,28,66,.424,14,38,.368,14,28,.500,.530,2,3,.667,3,14,12,8,2,17,28,72
Shay Murphy,2010,TOT,G,26,1,376,45,139,.324,13,47,.277,32,92,.348,.371,30,49,.612,27,81,32,17,2,29,38,133
Nicole Ohlde,2010,TOT,F-C,32,9,523,62,140,.443,0,0,,62,140,.443,.443,31,45,.689,22,83,27,11,17,41,67,155
Abi Olajuwon,2010,CHI,C,6,0,30,3,6,.500,0,0,,3,6,.500,.500,0,0,,3,4,0,1,0,2,3,6
Candace Parker,2010,LAS,F,10,10,335,81,162,.500,3,12,.250,78,150,.520,.509,41,56,.732,19,101,22,10,22,32,18,206
Ticha Penicheiro,2010,LAS,G,32,30,843,48,117,.410,1,9,.111,47,108,.435,.415,59,72,.819,17,127,220,43,2,72,57,156
Jia Perkins,2010,CHI,G,34,34,936,145,366,.396,38,109,.349,107,257,.416,.448,35,43,.814,35,98,83,56,6,40,61,363
Plenette Pierson,2010,TOT,F,33,1,544,125,261,.479,4,11,.364,121,250,.484,.487,67,81,.827,31,114,38,27,11,59,84,321
Cappie Pondexter,2010,NYL,G,34,34,1167,254,526,.483,64,149,.430,190,377,.504,.544,157,176,.892,21,153,165,30,4,81,88,729
Nicole Powell,2010,NYL,F,34,34,895,112,288,.389,66,167,.395,46,121,.380,.503,26,31,.839,33,143,76,34,7,48,67,316
